dataset,detector,threshold/config,metric,point,ci_low,ci_high,resamples,bootstrap_unit
Enriched500,max_step_guard,threshold=75,HN_FPR,0.04051750075218133,0.02203038206253158,0.06339950591358526,1000,trajectory
Enriched500,max_step_guard,threshold=75,burden,0.1945490889521027,0.16617347738361685,0.22068746408933915,1000,trajectory
Enriched500,max_step_guard,threshold=75,latency_mean,17.673295454545453,14.41578724604966,21.7106189937818,1000,trajectory
Enriched500,max_step_guard,threshold=100,F1,0.28769701246765467,0.23513261554621848,0.33698806730832226,1000,trajectory
Enriched500,max_step_guard,threshold=100,UC_recall,0.15154440154440155,0.11044303797468354,0.19395893340315962,1000,trajectory
Enriched500,max_step_guard,threshold=100,PIIR,0.010315186246418338,0.004810007510238863,0.016919988970493762,1000,trajectory
Enriched500,max_step_guard,threshold=100,HN_FPR,0.010029084344599338,0.0010319736958268205,0.02333695331499514,1000,trajectory
Enriched500,max_step_guard,threshold=100,burden,0.09517951872068886,0.07246072272189925,0.12005381966646589,1000,trajectory
Enriched500,max_step_guard,threshold=100,latency_mean,29.420382165605094,21.93513187100144,38.99186466942148,1000,trajectory
Enriched500,max_step_guard,threshold=150,F1,0.07167507300238916,0.04017099807308288,0.10139574101733666,1000,trajectory
Enriched500,max_step_guard,threshold=150,UC_recall,0.037644787644787646,0.0188935140617321,0.059294719670712294,1000,trajectory
Enriched500,max_step_guard,threshold=150,PIIR,0.0017191977077363897,0.0,0.004717120358200976,1000,trajectory
Enriched500,max_step_guard,threshold=150,HN_FPR,0.001303780964797914,0.0,0.003919027343332588,1000,trajectory
Enriched500,max_step_guard,threshold=150,burden,0.020758053355885292,0.010970785421557315,0.030272601732475268,1000,trajectory
Enriched500,max_step_guard,threshold=150,latency_mean,60.794871794871796,40.18967391304348,91.46328125000001,1000,trajectory
Enriched500,max_step_guard,threshold=200,F1,0.00013765572303668525,0.0,0.00042224603837906933,1000,trajectory
Enriched500,max_step_guard,threshold=200,UC_recall,0.0009652509652509653,0.0,0.0029070472334378453,1000,trajectory
Enriched500,max_step_guard,threshold=200,PIIR,0.0,0.0,0.0,1000,trajectory
Enriched500,max_step_guard,threshold=200,HN_FPR,0.0,0.0,0.0,1000,trajectory
Enriched500,max_step_guard,threshold=200,burden,3.844083954793573e-05,0.0,0.00011696852673269206,1000,trajectory
Enriched500,max_step_guard,threshold=200,latency_mean,145.0,145.0,145.0,1000,trajectory
Enriched500,exact_action_repeat_k,k=2,F1,0.24778655180665232,0.1870039902320686,0.30950780546808054,1000,trajectory
Enriched500,exact_action_repeat_k,k=2,UC_recall,0.19787644787644787,0.15737664524740796,0.24440462016479436,1000,trajectory
Enriched500,exact_action_repeat_k,k=2,PIIR,0.08481375358166189,0.07096943312920266,0.09875993823510086,1000,trajectory
Enriched500,exact_action_repeat_k,k=2,HN_FPR,0.01574566242102096,0.011557449207929662,0.020546561197478056,1000,trajectory
Enriched500,exact_action_repeat_k,k=2,burden,0.08410855693088337,0.06223646466356931,0.10755880365071721,1000,trajectory
Enriched500,exact_action_repeat_k,k=2,latency_mean,3.453658536585366,2.6306897918564247,4.456993087557604,1000,trajectory
Enriched500,exact_action_repeat_k,k=3,F1,0.20504595644932452,0.1394408677071978,0.27058346158863067,1000,trajectory
Enriched500,exact_action_repeat_k,k=3,UC_recall,0.11293436293436293,0.08298223879486556,0.14894260466712422,1000,trajectory
Enriched500,exact_action_repeat_k,k=3,PIIR,0.028080229226361032,0.020261734376281773,0.03678854036087058,1000,trajectory
Enriched500,exact_action_repeat_k,k=3,HN_FPR,0.0038110520509477483,0.0021081557784156085,0.005864811133200795,1000,trajectory
Enriched500,exact_action_repeat_k,k=3,burden,0.06469593295917583,0.04204261243059228,0.08868655917436478,1000,trajectory
Enriched500,exact_action_repeat_k,k=3,latency_mean,6.264957264957265,3.742997685185185,10.10420673076923,1000,trajectory
