dataset,within_0_01,within_0_02,detector_a,config_a,F1_a,PIIR_a,HN_FPR_a,detector_b,config_b,F1_b,PIIR_b,HN_FPR_b,abs_F1_diff,abs_PIIR_diff,abs_HN_FPR_diff
Natural500,True,True,max_step_guard,threshold=150,0.0,0.0,0.0,max_step_guard,threshold=200,0.0,0.0,0.0,0.0,0.0,0.0
Enriched500,True,True,max_step_guard,threshold=50,0.7192307692307692,0.101432664756447,0.11834319526627218,file_revisit_guard,window=5;repeats=3,0.728715126209907,0.5621776504297994,0.348711262661719,0.009484356979137742,0.4607449856733524,0.2303680673954468
Enriched500,True,True,max_step_guard,threshold=50,0.7192307692307692,0.101432664756447,0.11834319526627218,file_revisit_guard,window=10;repeats=5,0.7214875370682055,0.41489971346704874,0.2710861498345201,0.0022567678374362243,0.3134670487106017,0.15274295456824794
Enriched500,False,True,file_revisit_guard,window=10;repeats=3,0.7406460099386144,0.6234957020057307,0.40056162872329754,file_revisit_guard,window=10;repeats=5,0.7214875370682055,0.41489971346704874,0.2710861498345201,0.01915847287040895,0.20859598853868194,0.12947547888877742
Enriched500,True,True,file_revisit_guard,window=5;repeats=3,0.728715126209907,0.5621776504297994,0.348711262661719,file_revisit_guard,window=10;repeats=5,0.7214875370682055,0.41489971346704874,0.2710861498345201,0.007227589141701518,0.14727793696275066,0.07762511282719886
Enriched500,False,True,max_step_guard,threshold=100,0.28769701246765467,0.010315186246418338,0.010029084344599338,action_observation_similarity,tfidf_adjacent>=0.98,0.27461384270722794,0.08825214899713467,0.015845953264466955,0.013083169760426727,0.07793696275071633,0.005816868919867617
Enriched500,False,True,file_revisit_guard,window=5;repeats=3,0.728715126209907,0.5621776504297994,0.348711262661719,file_revisit_guard,window=10;repeats=3,0.7406460099386144,0.6234957020057307,0.40056162872329754,0.011930883728707431,0.06131805157593129,0.05185036606157856
Enriched500,False,True,exact_action_repeat_k,k=4,0.18604941352632892,0.012607449856733524,0.0014040718082439074,action_observation_repeat_exact,exact_pair_k=2,0.19782124288190145,0.04011461318051576,0.007220940728111524,0.011771829355572527,0.02750716332378224,0.005816868919867616
Enriched500,True,True,action_observation_repeat_exact,exact_pair_k=2,0.19782124288190145,0.04011461318051576,0.007220940728111524,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,0.19348825649310303,0.018911174785100286,0.0027078527730418213,0.004332986388798421,0.021203438395415476,0.004513087955069703
Enriched500,True,True,action_observation_repeat_exact,exact_pair_k=2,0.19782124288190145,0.04011461318051576,0.007220940728111524,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,0.1974834190789066,0.019484240687679084,0.0028081436164878147,0.00033782380299485215,0.02063037249283668,0.004412797111623709
Enriched500,False,True,exact_action_repeat_k,k=3,0.20504595644932452,0.028080229226361032,0.0038110520509477483,exact_action_repeat_k,k=4,0.18604941352632892,0.012607449856733524,0.0014040718082439074,0.018996542922995602,0.015472779369627508,0.002406980242703841
Enriched500,True,True,exact_action_repeat_k,k=3,0.20504595644932452,0.028080229226361032,0.0038110520509477483,action_observation_repeat_exact,exact_pair_k=2,0.19782124288190145,0.04011461318051576,0.007220940728111524,0.0072247135674230745,0.01203438395415473,0.0034098886771637754
