dataset,location_category,trigger_count,trigger_pct,detector,threshold/config
Enriched500,PI_span_non_HN,1,0.0011160714285714285,error_signature_repeat_k,k=3
Enriched500,other,1,0.0011160714285714285,error_signature_repeat_k,k=3
Enriched500,UC_span,9599,0.8123043073538123,file_revisit_guard,window=5;repeats=3
Enriched500,HN_step,1716,0.14521452145214522,file_revisit_guard,window=5;repeats=3
Enriched500,PI_span_non_HN,411,0.03478040111703478,file_revisit_guard,window=5;repeats=3
Enriched500,other,91,0.007700770077007701,file_revisit_guard,window=5;repeats=3
Enriched500,UC_span,7139,0.9117496807151979,file_revisit_guard,window=5;repeats=5
Enriched500,HN_step,540,0.06896551724137931,file_revisit_guard,window=5;repeats=5
Enriched500,PI_span_non_HN,124,0.01583652618135377,file_revisit_guard,window=5;repeats=5
Enriched500,other,27,0.0034482758620689655,file_revisit_guard,window=5;repeats=5
Enriched500,UC_span,10135,0.7893302180685359,file_revisit_guard,window=10;repeats=3
Enriched500,HN_step,2121,0.16518691588785048,file_revisit_guard,window=10;repeats=3
Enriched500,PI_span_non_HN,471,0.03668224299065421,file_revisit_guard,window=10;repeats=3
Enriched500,other,113,0.008800623052959502,file_revisit_guard,window=10;repeats=3
Enriched500,UC_span,9002,0.8634183771340879,file_revisit_guard,window=10;repeats=5
Enriched500,HN_step,1121,0.10751966238250528,file_revisit_guard,window=10;repeats=5
Enriched500,PI_span_non_HN,243,0.0233071168233263,file_revisit_guard,window=10;repeats=5
Enriched500,other,60,0.005754843660080567,file_revisit_guard,window=10;repeats=5
Enriched500,UC_span,1593,0.9925233644859813,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime
Enriched500,HN_step,6,0.003738317757009346,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime
Enriched500,PI_span_non_HN,0,0.0,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime
Enriched500,other,6,0.003738317757009346,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime
Enriched500,UC_span,1557,0.9942528735632183,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy
Enriched500,HN_step,5,0.0031928480204342275,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy
Enriched500,PI_span_non_HN,0,0.0,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy
Enriched500,other,4,0.002554278416347382,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy
StressFresh100,UC_span,876,0.7992700729927007,max_step_guard,threshold=25
StressFresh100,HN_step,86,0.07846715328467153,max_step_guard,threshold=25
StressFresh100,PI_span_non_HN,94,0.08576642335766424,max_step_guard,threshold=25
StressFresh100,other,40,0.0364963503649635,max_step_guard,threshold=25
StressFresh100,UC_span,353,0.9751381215469613,max_step_guard,threshold=50
StressFresh100,HN_step,0,0.0,max_step_guard,threshold=50
StressFresh100,PI_span_non_HN,8,0.022099447513812154,max_step_guard,threshold=50
StressFresh100,other,1,0.0027624309392265192,max_step_guard,threshold=50
StressFresh100,UC_span,167,1.0,max_step_guard,threshold=75
StressFresh100,HN_step,0,0.0,max_step_guard,threshold=75
StressFresh100,PI_span_non_HN,0,0.0,max_step_guard,threshold=75
StressFresh100,other,0,0.0,max_step_guard,threshold=75
StressFresh100,UC_span,95,1.0,max_step_guard,threshold=100
StressFresh100,HN_step,0,0.0,max_step_guard,threshold=100
StressFresh100,PI_span_non_HN,0,0.0,max_step_guard,threshold=100
StressFresh100,other,0,0.0,max_step_guard,threshold=100
StressFresh100,UC_span,312,0.8041237113402062,exact_action_repeat_k,k=2
StressFresh100,HN_step,44,0.1134020618556701,exact_action_repeat_k,k=2
StressFresh100,PI_span_non_HN,20,0.05154639175257732,exact_action_repeat_k,k=2
StressFresh100,other,12,0.030927835051546393,exact_action_repeat_k,k=2
StressFresh100,UC_span,262,0.8562091503267973,exact_action_repeat_k,k=3
StressFresh100,HN_step,30,0.09803921568627451,exact_action_repeat_k,k=3
StressFresh100,PI_span_non_HN,10,0.032679738562091505,exact_action_repeat_k,k=3
StressFresh100,other,4,0.013071895424836602,exact_action_repeat_k,k=3
StressFresh100,UC_span,238,0.9118773946360154,exact_action_repeat_k,k=4
StressFresh100,HN_step,18,0.06896551724137931,exact_action_repeat_k,k=4
StressFresh100,PI_span_non_HN,4,0.01532567049808429,exact_action_repeat_k,k=4
StressFresh100,other,1,0.0038314176245210726,exact_action_repeat_k,k=4
StressFresh100,UC_span,648,0.6153846153846154,tool_repeat_k,k=2
StressFresh100,HN_step,116,0.11016144349477683,tool_repeat_k,k=2
StressFresh100,PI_span_non_HN,176,0.1671415004748338,tool_repeat_k,k=2
StressFresh100,other,113,0.10731244064577398,tool_repeat_k,k=2
StressFresh100,UC_span,452,0.7232,tool_repeat_k,k=3
StressFresh100,HN_step,64,0.1024,tool_repeat_k,k=3
StressFresh100,PI_span_non_HN,75,0.12,tool_repeat_k,k=3
StressFresh100,other,34,0.0544,tool_repeat_k,k=3
StressFresh100,UC_span,393,0.8153526970954357,tool_repeat_k,k=4
StressFresh100,HN_step,29,0.06016597510373444,tool_repeat_k,k=4
StressFresh100,PI_span_non_HN,40,0.08298755186721991,tool_repeat_k,k=4
StressFresh100,other,20,0.04149377593360996,tool_repeat_k,k=4
StressFresh100,UC_span,625,0.7175660160734788,tool_sequence_repeat,window=2
StressFresh100,HN_step,107,0.12284730195177956,tool_sequence_repeat,window=2
StressFresh100,PI_span_non_HN,99,0.11366245694603903,tool_sequence_repeat,window=2
StressFresh100,other,40,0.045924225028702644,tool_sequence_repeat,window=2
StressFresh100,UC_span,482,0.8844036697247707,tool_sequence_repeat,window=3
StressFresh100,HN_step,28,0.05137614678899083,tool_sequence_repeat,window=3
