artifact_relative_path,sha256,row_count,column_count,dataset_if_known,trajectory_count_if_derivable,step_count_if_derivable,span_count_if_derivable,trajectory_id_set_sha256_if_derivable,step_key_set_sha256_if_derivable,created_by_script_if_known,status
outputs/expected/intervention_risk_rich_detectors/detector_availability.csv,af8a35016cf57c29ab26e144644ac31a9c9b7b41655486258ab8e5ff61351649,36,7,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/detector_metrics_by_dataset.csv,4b725e28cdb5d3c8ecd904071802ff60b99c33aace940131df55b6015ed4ec4b,64,16,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/near_f1_risk_pairs.csv,15407c6ce92a2798c0a68852913ca888cedef16178e9976cae3ec3e4357a5f22,65,16,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/threshold_frontier_by_dataset.csv,4b725e28cdb5d3c8ecd904071802ff60b99c33aace940131df55b6015ed4ec4b,64,16,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/trigger_location_distribution.csv,0a8f21073bf2c5669dc2e49bb3fdc430059633756feb892c7e3b0ee0be19f493,232,6,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_validation/stop_counterfactual_near_f1_pairs.csv,cb0d250eb7cff0b2944145b6ae408cad6113201d00bc2b6fdc0b12e6f922bd72,60,20,Enriched500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_validation/stop_counterfactual_summary_by_detector.csv,2df445755bea1e683aec454b583326acedf924bade019ffaedf95a4427c9df69,58,34,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_validation/stop_counterfactual_summary_by_location.csv,ffe9e447a95bbb53214b57d2c6386f0439f441366662e16668f3db9ec23a4efc,20,13,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_validation/stop_counterfactual_triggers.csv,1e999d103ef52b7b98a0d9ceb07f8753560997dc73922ad00d0ba4b31cbcc2a3,246856,30,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,928,246856,,99a6de79bb8ba8e9ae91c9051a919c1c529dfa2419e8a72ea5a4b30a3b3b2f71,f48f5226624c312a28dfd7001aad4073dc28a0f00f0f185013897bad75c575f3,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/api_call_log.csv,781df1159ac8d670b88f1ffa6d12a279e788bfcf91d9a5568a7bf17392e39fa4,386,10,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,e822ef01f2cdbad3469a34932202eb776c589c6b8d7fd59742b2af6420535736,21,12,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/api_replan_parsed_responses.csv,6a5e14b7dc4c66414459769ed63667da2c8b56e32acfe024b53a06c77d3b9b8c,360,24,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/api_replan_summary_by_group.csv,4b39bb90d3eacd09e4cf17b41fc72caa46c4875be5c68e27172d013e5f15fba4,6,10,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/prefix_replan_sample.csv,d7177e6fb316ba01ede170d2cc3ccfd88ae7199d96201c1f1fec7d372507ea41,180,16,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/table_api_replan_pairwise_effects.csv,febb8bfb9bae8808011a09e8214e315402157e11ba34e82aa2dbc3b0ca8451ea,21,12,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/table_api_replan_summary.csv,06b7a785977249a6a91f9ec6895049813ba7e1c8f98cced1702fe3ce5fd7a7ff,6,10,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_experiment/live_guard_pairwise_effects.csv,2b52135337153bcc94ce7144c8d0f2b24dd98726c535569d749276aaa7041618,10,6,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_experiment/live_guard_results.csv,27664f25424b13db6f4eb2a4bbda1ce789ab56dcd77c7bd8d216cc66695089ff,30,29,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_experiment/live_guard_run_log_sanitized.csv,85e3e00521cd73d415240ffd4acb4476d6c0d0b837ed9534648aed3fde98839a,34,28,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_experiment/live_guard_summary_by_arm.csv,ffdd6dce69ec40194fa2f722880f57e183044a85e59f866f2839f50e6c33ed41,3,17,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_experiment/live_task_sample_sanitized.csv,3da0b3d07b4924692f192f7b6fe72f368f1fdbf763be749a30a0ebe39bff2a7e,60,13,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_experiment/table_live_guard_pairwise_effects.csv,2b52135337153bcc94ce7144c8d0f2b24dd98726c535569d749276aaa7041618,10,6,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_experiment/table_live_guard_summary.csv,ffdd6dce69ec40194fa2f722880f57e183044a85e59f866f2839f50e6c33ed41,3,17,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/agent_run_log_sanitized.csv,1637eb7ed102eb8665fa8ffa6e91942bbfb5f213ac08ab58fda18aed667ab8e2,205,27,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/live_guard_official_pairwise_effects.csv,54b8d5fcc58f91c6162f0fcdc7fdcbf5073239765dcc8551463e95128f4c847d,12,6,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/live_guard_official_results_sanitized.csv,17556b4cdda3353c19666b26bfa5cd7423ca419322546f5f22fb98d2f6823dbe,180,36,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,3341f7f78fba98c15cc0c67652cca22e48edca2dd0d4fbe469d1377ab00f5804,3,17,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/official_oracle_extension_tasks_31_60.csv,a609322e3713582fcd88f1425aaaba444afe0f7a8e9c2af0efefbdd9cf69da4a,90,7,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/official_oracle_task_sample_sanitized.csv,1c7be91a7131bc99998646ccf83adb8a928eeac41c6c893aec1656c4add7332b,60,12,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/oracle_eval_results.csv,530c4f5d695425e4a0ceec9592c55d1aca993e795081c0757fb33bb5ab194886,180,12,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/patch_manifest_sanitized.csv,14ec81cbb13e2403d50166c7cd5a212c4a2f708856de47c1852299cb0704d693,205,10,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/table_live_guard_official_pairwise_effects.csv,54b8d5fcc58f91c6162f0fcdc7fdcbf5073239765dcc8551463e95128f4c847d,12,6,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/live_guard_official_oracle/table_live_guard_official_summary.csv,3341f7f78fba98c15cc0c67652cca22e48edca2dd0d4fbe469d1377ab00f5804,3,17,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_findings/dataset_role_summary.csv,36a2f488e5b953a426c48f76e8a6206208f54bf914750c689f10d2bd32664c3f,4,11,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_findings/detector_family_summary.csv,60dc7afd09e01297470e5b39852c0e67581bdf29ea3b15540df1300a6b5c18eb,9,5,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_findings/figure_table_recommendations.csv,d03cf8c62061c69c8dd5fb56e15fba4af738f98e958d7e58e32105316ec4e907,10,4,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_findings/headline_findings.csv,27014e8a320dd29051558e6c54d34b1c2f6d3b6a5a22d051b7539bc5b135b7d6,12,10,"All four evidence pools, reported as a diagnostic contrast;Enriched500;Enriched500, StressFresh100, OpenHandsExternal330;OpenHandsExternal330;OpenHandsExternal330 vs SWE-agent datasets;StressFresh100",,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_findings/strongest_near_f1_risk_pairs.csv,faeb91ee3cd1c070ee8ec16ffa9f66ee8020eae41f56d6903994ed9306e59ce1,10,19,Enriched500;OpenHandsExternal330,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/provenance_audit/provenance_summary_by_pool.csv,518ab3eccd67d7cdf86608db50a0a33042f332abe11790bbd51b01001bba25e9,4,10,,,,,,,expected paper pipeline or release builder,PASS
