dataset,within_0_01,within_0_02,detector_a,config_a,F1_a,PIIR_a,HN_FPR_a,detector_b,config_b,F1_b,PIIR_b,HN_FPR_b,abs_F1_diff,abs_PIIR_diff,abs_HN_FPR_diff,burden_a,burden_b,abs_burden_diff
OpenHandsExternal330,True,True,max_step_guard,threshold=25,0.0028735632183908,1.0,1.0,max_step_guard,threshold=200,0.0,0.1062801932367149,0.0036607687614399,0.0028735632183908,0.893719806763285,0.99633923123856,0.844736326210547,0.0033718878651244,0.8413644383454225
OpenHandsExternal330,True,True,max_step_guard,threshold=50,0.0035528049968483,0.997584541062802,1.0,max_step_guard,threshold=200,0.0,0.1062801932367149,0.0036607687614399,0.0035528049968483,0.8913043478260869,0.99633923123856,0.6830033326798667,0.0033718878651244,0.6796314448147422
OpenHandsExternal330,True,True,max_step_guard,threshold=75,0.004651337259462,0.9758454106280192,0.9938987187309336,max_step_guard,threshold=200,0.0,0.1062801932367149,0.0036607687614399,0.004651337259462,0.8695652173913043,0.9902379499694935,0.5214075671436973,0.0033718878651244,0.5180356792785729
OpenHandsExternal330,True,True,max_step_guard,threshold=100,0.0034075178362261,0.8864734299516909,0.9377669310555216,max_step_guard,threshold=200,0.0,0.1062801932367149,0.0036607687614399,0.0034075178362261,0.7801932367149759,0.9341061622940816,0.3669868653205254,0.0033718878651244,0.363614977455401
OpenHandsExternal330,True,True,max_step_guard,threshold=25,0.0028735632183908,1.0,1.0,max_step_guard,threshold=150,0.0079016681299385,0.5362318840579711,0.4478340451494814,0.0050281049115477,0.4637681159420289,0.5521659548505187,0.844736326210547,0.1327582826896687,0.7119780435208782
OpenHandsExternal330,True,True,max_step_guard,threshold=50,0.0035528049968483,0.997584541062802,1.0,max_step_guard,threshold=150,0.0079016681299385,0.5362318840579711,0.4478340451494814,0.0043488631330902,0.4613526570048308,0.5521659548505187,0.6830033326798667,0.1327582826896687,0.550245049990198
Enriched500,True,True,max_step_guard,threshold=50,0.7192307692307692,0.101432664756447,0.1183431952662721,file_revisit_guard,window=5;repeats=3,0.728715126209907,0.5621776504297994,0.348711262661719,0.0094843569791377,0.4607449856733524,0.2303680673954468,0.3410471284692857,0.4542554009379564,0.11320827246867071
OpenHandsExternal330,True,True,max_step_guard,threshold=75,0.004651337259462,0.9758454106280192,0.9938987187309336,max_step_guard,threshold=150,0.0079016681299385,0.5362318840579711,0.4478340451494814,0.0032503308704764,0.4396135265700482,0.546064673581452,0.5214075671436973,0.1327582826896687,0.3886492844540286
OpenHandsExternal330,True,True,max_step_guard,threshold=150,0.0079016681299385,0.5362318840579711,0.4478340451494814,max_step_guard,threshold=200,0.0,0.1062801932367149,0.0036607687614399,0.0079016681299385,0.429951690821256,0.4441732763880415,0.1327582826896687,0.0033718878651244,0.12938639482454428
OpenHandsExternal330,True,True,max_step_guard,threshold=100,0.0034075178362261,0.8864734299516909,0.9377669310555216,max_step_guard,threshold=150,0.0079016681299385,0.5362318840579711,0.4478340451494814,0.0044941502937123,0.3502415458937198,0.4899328859060403,0.3669868653205254,0.1327582826896687,0.2342285826308567
