detector_family,available_datasets,progress_type,best_risk_utility_setting,worst_piir_hn_fpr_setting
max_step_guard,"Natural500, Enriched500, StressFresh100, OpenHandsExternal330",progress-insensitive,"Enriched500 `threshold=50` (F1 0.719, PIIR 0.101, HN-FPR 0.118)",worst PIIR: OpenHandsExternal330 `threshold=25` = 1.000; worst HN-FPR: OpenHandsExternal330 `threshold=25` = 1.000
exact_action_repeat_k,"Enriched500, StressFresh100",progress-insensitive,"StressFresh100 `k=4` (F1 0.287, PIIR 0.039, HN-FPR 0.038)",worst PIIR: StressFresh100 `k=2` = 0.116; worst HN-FPR: StressFresh100 `k=2` = 0.094
tool_repeat_k,StressFresh100,progress-insensitive,"StressFresh100 `k=4` (F1 0.418, PIIR 0.159, HN-FPR 0.062)",worst PIIR: StressFresh100 `k=2` = 0.516; worst HN-FPR: StressFresh100 `k=2` = 0.248
tool_sequence_repeat,StressFresh100,progress-insensitive,"StressFresh100 `window=3` (F1 0.496, PIIR 0.097, HN-FPR 0.060)",worst PIIR: StressFresh100 `window=2` = 0.349; worst HN-FPR: StressFresh100 `window=2` = 0.229
action_observation_repeat,"Enriched500, StressFresh100",progress-insensitive,"StressFresh100 `exact_pair_k=2` (F1 0.277, PIIR 0.000, HN-FPR 0.000)",worst PIIR: Enriched500 `exact_pair_k=2` = 0.040; worst HN-FPR: Enriched500 `exact_pair_k=2` = 0.007
action_observation_similarity,"Enriched500, StressFresh100",progress-insensitive,"StressFresh100 `tfidf_adjacent>=0.98` (F1 0.316, PIIR 0.120, HN-FPR 0.043)",worst PIIR: StressFresh100 `tfidf_adjacent>=0.9` = 0.283; worst HN-FPR: StressFresh100 `tfidf_adjacent>=0.9` = 0.100
error_signature_repeat_k,"Enriched500, StressFresh100",progress-insensitive,"StressFresh100 `k=3` (F1 0.264, PIIR 0.023, HN-FPR 0.013)",worst PIIR: StressFresh100 `k=2` = 0.143; worst HN-FPR: StressFresh100 `k=2` = 0.049
file_revisit_guard,"Enriched500, StressFresh100",progress-insensitive,"Enriched500 `window=5;repeats=5` (F1 0.639, PIIR 0.253, HN-FPR 0.169)",worst PIIR: StressFresh100 `window=10;repeats=3` = 0.868; worst HN-FPR: StressFresh100 `window=10;repeats=3` = 0.797
repeat_without_progress_guard,"Enriched500, StressFresh100",progress-aware,"StressFresh100 `base=tool;k=3;progress=runtime` (F1 0.273, PIIR 0.004, HN-FPR 0.000)",worst PIIR: Enriched500 `base=exact_action;k=3;progress=runtime` = 0.019; worst HN-FPR: Enriched500 `base=exact_action;k=3;progress=runtime` = 0.003
