comparison,selection_scope,selection_rule,length_threshold,trajectory_count,mean_length,median_length,p90_length,min_length,max_length,contains_uc_count,contains_uc_pct,contains_hn_count,contains_hn_pct,contains_pi_count,contains_pi_pct,mean_uc_density,mean_hn_density,mean_pi_density
excluding_openhands_top_10pct_longest,all_except_OpenHandsExternal330,"trajectory_length >= non-OpenHands 90th percentile, ties retained",87.0,113,119.94690265486726,112.0,163.8,87,200,110,0.9734513274336283,88,0.7787610619469026,112,0.9911504424778761,0.7947090988258844,0.23996574457968317,0.3746380283600406
excluding_openhands_remaining_90pct,all_except_OpenHandsExternal330,"trajectory_length >= non-OpenHands 90th percentile, ties retained",87.0,987,24.45997973657548,17.0,48.0,6,86,397,0.4022289766970618,510,0.5167173252279635,971,0.983789260385005,0.17668587029289326,0.2956051148056051,0.7805563938033683
