stratum,arm,N,repeat_pattern_rate,new_evidence_action_rate,action_shift_rate,progress_seeking_score_mean,continue_rate,unsafe_overstop_rate,json_parse_success_rate
matched_control,NEUTRAL_CONTINUE,36,0.6666666666666666,0.9722222222222222,,1.9444444444444444,0.9722222222222222,,1.0
matched_control,WARN_REPLAN,36,0.5555555555555556,0.9722222222222222,0.75,2.2777777777777777,0.9722222222222222,,1.0
productive_risk,NEUTRAL_CONTINUE,72,0.5972222222222222,1.0,,2.125,0.9722222222222222,0.0277777777777777,1.0
productive_risk,WARN_REPLAN,72,0.6666666666666666,0.9861111111111112,0.6805555555555556,2.208333333333333,0.9861111111111112,0.0138888888888888,1.0
uc,NEUTRAL_CONTINUE,72,0.6666666666666666,0.9722222222222222,,1.9027777777777777,0.9861111111111112,,1.0
uc,WARN_REPLAN,72,0.6944444444444444,1.0,0.7222222222222222,2.0694444444444446,1.0,,1.0
