stratum,metric,N_pairs,neutral_mean,warn_replan_mean,warn_minus_neutral,ci_low,ci_high,mcnemar_b_neutral_yes_warn_no,mcnemar_c_neutral_no_warn_yes,mcnemar_chi2,mcnemar_p_approx
matched_control,repeat_pattern_rate,36,0.6666666666666666,0.5555555555555556,-0.1111111111111111,-0.3333333333333333,0.1111111111111111,10.0,6.0,0.5625,0.4532547047537364
matched_control,new_evidence_action_rate,36,0.9722222222222222,0.9722222222222222,0.0,0.0,0.0,,,,
matched_control,progress_seeking_score_mean,36,1.9444444444444444,2.2777777777777777,0.3333333333333333,0.0,0.6666666666666666,,,,
matched_control,continue_rate,36,0.9722222222222222,0.9722222222222222,0.0,0.0,0.0,,,,
matched_control,action_shift_rate,36,0.0,0.75,0.75,0.6111111111111112,0.8888888888888888,,,,
productive_risk,repeat_pattern_rate,72,0.5972222222222222,0.6666666666666666,0.0694444444444444,-0.0416666666666666,0.1944444444444444,7.0,12.0,0.8421052631578947,0.3587953578869416
productive_risk,new_evidence_action_rate,72,1.0,0.9861111111111112,-0.0138888888888888,-0.0416666666666666,0.0,,,,
productive_risk,progress_seeking_score_mean,72,2.125,2.208333333333333,0.0833333333333333,-0.1111111111111111,0.2638888888888889,,,,
productive_risk,continue_rate,72,0.9722222222222222,0.9861111111111112,0.0138888888888888,0.0,0.0416666666666666,,,,
productive_risk,unsafe_overstop_rate,72,0.0277777777777777,0.0138888888888888,-0.0138888888888888,-0.0416666666666666,0.0,,,,
productive_risk,action_shift_rate,72,0.0,0.6805555555555556,0.6805555555555556,0.5694444444444444,0.7777777777777778,,,,
uc,repeat_pattern_rate,72,0.6666666666666666,0.6944444444444444,0.0277777777777777,-0.0972222222222222,0.1527777777777778,10.0,12.0,0.0454545454545454,0.8311704095417624
uc,new_evidence_action_rate,72,0.9722222222222222,1.0,0.0277777777777777,0.0,0.0694444444444444,,,,
uc,progress_seeking_score_mean,72,1.9027777777777777,2.0694444444444446,0.1666666666666666,-0.0694444444444444,0.3888888888888889,,,,
uc,continue_rate,72,0.9861111111111112,1.0,0.0138888888888888,0.0,0.0416666666666666,,,,
uc,action_shift_rate,72,0.0,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.8194444444444444,,,,
all,repeat_pattern_rate,180,0.6388888888888888,0.6555555555555556,0.0166666666666666,-0.0666666666666666,0.1,27.0,30.0,0.0701754385964912,0.7910815129207817
all,new_evidence_action_rate,180,0.9833333333333332,0.9888888888888888,0.0055555555555555,-0.0111111111111111,0.0222222222222222,,,,
all,progress_seeking_score_mean,180,2.0,2.1666666666666665,0.1666666666666666,0.0333333333333333,0.3,,,,
all,continue_rate,180,0.9777777777777776,0.9888888888888888,0.0111111111111111,0.0,0.0277777777777777,,,,
all,action_shift_rate,180,0.0,0.7111111111111111,0.7111111111111111,0.6444444444444445,0.7777777777777778,,,,
